prob_bin,predicted_midpoint,n,actual_default_rate
"(0.00098, 0.0971]",0.049,5715,0.011373578302712161
"(0.0971, 0.191]",0.144,11033,0.02320311791897036
"(0.191, 0.285]",0.238,10487,0.03604462668065224
"(0.285, 0.38]",0.3325,8805,0.054741624077228844
"(0.38, 0.474]",0.427,7406,0.08182554685390224
"(0.474, 0.568]",0.521,6057,0.10153541357107479
"(0.568, 0.662]",0.615,5097,0.14616441043751227
"(0.662, 0.756]",0.709,3795,0.2007905138339921
"(0.756, 0.85]",0.803,2472,0.3042071197411003
"(0.85, 0.944]",0.897,636,0.4779874213836478
